-72.895	236.87	1797.5
-72.885	236.79	1797
-72.875	236.71	1796.5
-72.865	236.63	1796
-72.855	236.56	1795.5
-72.845	236.48	1795
-72.835	236.4	1794.5
-72.825	236.32	1794
-72.816	236.24	1793.5
-72.806	236.16	1793
-72.796	236.08	1792.5
-72.786	236	1792
-72.776	235.92	1791.5
-72.766	235.84	1791
-72.756	235.76	1790.5
-72.746	235.69	1790.1
-72.737	235.61	1789.6
-72.727	235.53	1789.1
-72.717	235.45	1788.6
-72.707	235.37	1788.1
-72.697	235.29	1787.6
-72.687	235.21	1787.1
-72.677	235.13	1786.6
-72.667	235.05	1786.1
-72.658	234.97	1785.6
-72.648	234.89	1785.1
-72.638	234.81	1784.6
-72.628	234.74	1784.1
-72.618	234.66	1783.6
-72.608	234.58	1783.1
-72.598	234.5	1782.6
-72.588	234.42	1782.2
-72.579	234.34	1781.7
-72.569	234.26	1781.2
-72.559	234.18	1780.7
-72.549	234.1	1780.2
-72.539	234.02	1779.7
-72.529	233.94	1779.2
-72.519	233.87	1778.7
-72.509	233.79	1778.2
-72.5	233.71	1777.7
-72.49	233.63	1777.2
-72.48	233.55	1776.7
-72.47	233.47	1776.2
-72.46	233.39	1775.7
-72.45	233.31	1775.2
-72.44	233.23	1774.7
-72.43	233.15	1774.3
-72.42	233.07	1773.8
-72.411	233	1773.3
-72.401	232.92	1772.8
-72.391	232.84	1772.3
-72.381	232.76	1771.8
-72.371	232.68	1771.3
-72.361	232.6	1770.8
-72.351	232.52	1770.3
-72.341	232.44	1769.8
-72.332	232.36	1769.3
-72.322	232.28	1768.8
-72.312	232.2	1768.3
-72.302	232.13	1767.8
-72.292	232.05	1767.3
-72.282	231.97	1766.9
-72.272	231.89	1766.4
-72.262	231.81	1765.9
-72.253	231.73	1765.4
-72.243	231.65	1764.9
-72.233	231.57	1764.4
-72.223	231.49	1763.9
-72.213	231.41	1763.4
-72.203	231.33	1762.9
-72.193	231.25	1762.4
-72.183	231.18	1761.9
-72.174	231.1	1761.4
-72.164	231.02	1760.9
-72.154	230.94	1760.4
-72.144	230.86	1759.9
-72.134	230.78	1759.4
-72.124	230.7	1759
-72.114	230.62	1758.5
-72.104	230.54	1758
-72.095	230.46	1757.5
-72.085	230.38	1757
-72.075	230.31	1756.5
-72.065	230.23	1756
-72.055	230.15	1755.5
-72.045	230.07	1755
-72.035	229.99	1754.5
-72.025	229.91	1754
-72.016	229.83	1753.5
-72.006	229.75	1753
-71.996	229.67	1752.5
-71.986	229.59	1752
-71.976	229.51	1751.5
-71.966	229.44	1751.1
-71.956	229.36	1750.6
-71.946	229.28	1750.1
-71.936	229.2	1749.6
-71.927	229.12	1749.1
-71.917	229.04	1748.6
-71.907	228.96	1748.1
-71.897	228.88	1747.6
-71.887	228.8	1747.1
-71.877	228.72	1746.6
-71.867	228.64	1746.1
-71.857	228.56	1745.6
-71.848	228.49	1745.1
-71.838	228.41	1744.6
-71.828	228.33	1744.1
-71.818	228.25	1743.7
-71.808	228.17	1743.2
-71.798	228.09	1742.7
-71.788	228.01	1742.2
-71.778	227.93	1741.7
-71.769	227.85	1741.2
-71.759	227.77	1740.7
-71.749	227.69	1740.2
-71.739	227.62	1739.7
-71.729	227.54	1739.2
-71.719	227.46	1738.7
-71.709	227.38	1738.2
-71.699	227.3	1737.7
-71.69	227.22	1737.2
-71.68	227.14	1736.7
-71.67	227.06	1736.2
-71.66	226.98	1735.8
-71.65	226.9	1735.3
-71.64	226.82	1734.8
-71.63	226.75	1734.3
-71.62	226.67	1733.8
-71.611	226.59	1733.3
-71.601	226.51	1732.8
-71.591	226.43	1732.3
-71.581	226.35	1731.8
-71.571	226.27	1731.3
-71.561	226.19	1730.8
-71.551	226.11	1730.3
-71.541	226.03	1729.8
-71.532	225.95	1729.3
-71.522	225.88	1728.8
-71.512	225.8	1728.4
-71.502	225.72	1727.9
-71.492	225.64	1727.4
-71.482	225.56	1726.9
-71.472	225.48	1726.4
-71.462	225.4	1725.9
-71.452	225.32	1725.4
-71.443	225.24	1724.9
-71.433	225.16	1724.4
-71.423	225.08	1723.9
-71.413	225	1723.4
-71.403	224.93	1722.9
-71.393	224.85	1722.4
-71.383	224.77	1721.9
-71.373	224.69	1721.4
-71.364	224.61	1720.9
-71.354	224.53	1720.5
-71.344	224.45	1720
-71.334	224.37	1719.5
-71.324	224.29	1719
-71.314	224.21	1718.5
-71.304	224.13	1718
-71.294	224.06	1717.5
-71.285	223.98	1717
-71.275	223.9	1716.5
-71.265	223.82	1716
-71.255	223.74	1715.5
-71.245	223.66	1715
-71.235	223.58	1714.5
-71.225	223.5	1714
-71.215	223.42	1713.5
-71.206	223.34	1713
-71.196	223.26	1712.6
-71.186	223.19	1712.1
-71.176	223.11	1711.6
-71.166	223.03	1711.1
-71.156	222.95	1710.6
-71.146	222.87	1710.1
-71.136	222.79	1709.6
-71.127	222.71	1709.1
-71.117	222.63	1708.6
-71.107	222.55	1708.1
-71.097	222.47	1707.6
-71.087	222.39	1707.1
-71.077	222.31	1706.6
-71.067	222.24	1706.1
-71.057	222.16	1705.6
-71.048	222.08	1705.2
-71.038	222	1704.7
-71.028	221.92	1704.2
-71.018	221.84	1703.7
-71.008	221.76	1703.2
-70.998	221.68	1702.7
-70.988	221.6	1702.2
-70.978	221.52	1701.7
-70.968	221.44	1701.2
-70.959	221.37	1700.7
-70.949	221.29	1700.2
-70.939	221.21	1699.7
-70.929	221.13	1699.2
-70.919	221.05	1698.7
-70.909	220.97	1698.2
-70.899	220.89	1697.7
