1	38.95	137.38	18.37	140.52	242.01	56.79	255.22	419.2	99.34	392.47	624.52	147.13	503.17	784.52	172.0	453.57	716.05	117.94	435.5	710.95	49.32	165.55	288.8	443.39	49.32	51.51	72.68	88.7	3.05	17.44	23.37	32.31	1.8	10.67	11.24	14.13	0.92	6.12	8.09	8.73	1.99	11.22	17.31	65.66	0.83	5.43	6.31	4.93	0.89	3.81	5.18	6.09	0.04	0.14	0.26	0.41	93.2	368.96	144.86	651.76	543.23	891.7	999.21	1443.95	362.82	
2	24.43	107.72	8.72	89.4	180.74	27.52	149.52	309.65	44.45	253.74	477.18	75.64	387.05	636.88	122.25	452.95	673.61	138.5	435.66	637.31	27.88	93.02	172.57	291.63	27.88	27.43	33.97	60.39	2.5	13.64	20.14	28.11	1.39	9.73	13.57	15.03	1.01	6.56	8.46	9.8	1.41	10.78	11.2	6.1	1.6	10.35	8.57	9.92	0.36	1.69	2.92	4.67	0.09	0.26	0.61	1.48	60.05	236.43	83.5	432.89	323.13	471.68	668.13	944.15	192.81	
3	22.2	105.46	4.12	89.18	174.71	17.17	144.12	270.56	27.8	193.49	360.43	34.04	232.52	431.15	35.4	241.99	450.17	32.98	245.43	448.87	19.79	55.01	86.96	104.41	19.79	36.42	53.02	64.43	1.93	9.28	14.11	18.28	1.25	6.74	8.63	10.72	1.18	6.3	8.65	8.58	0.82	5.09	5.13	4.4	1.23	7.56	7.53	4.98	0.52	2.04	3.41	3.85	0.19	1.09	1.65	1.83	51.04	209.0	63.26	313.7	286.88	344.38	380.77	677.76	158.62	
4	21.02	97.92	4.37	75.93	155.89	12.75	120.68	234.52	20.83	162.19	303.11	27.06	178.87	352.53	24.03	179.84	344.66	18.61	161.42	309.24	17.48	44.34	67.05	82.16	17.48	26.95	39.19	48.86	2.06	10.31	14.18	17.46	1.16	7.05	8.09	8.42	0.82	5.0	5.33	4.51	0.78	4.74	3.82	3.49	0.69	4.08	3.21	3.24	0.52	2.07	2.93	3.34	0.09	0.52	0.52	0.36	43.91	175.12	47.11	255.54	230.13	238.22	310.44	546.18	110.17	
5	19.29	91.3	3.57	72.61	145.03	12.95	113.19	217.31	21.06	149.71	278.62	25.36	167.04	306.46	22.72	155.87	296.3	18.67	137.56	261.78	16.22	41.26	61.98	70.9	16.22	26.29	36.96	44.57	1.36	6.85	8.86	10.06	1.17	5.78	6.29	6.87	1.01	5.7	7.02	5.89	0.9	4.84	5.67	4.15	0.66	4.09	4.01	3.28	0.34	1.24	1.55	1.69	0.13	0.57	0.67	0.6	40.19	158.56	43.85	230.36	210.13	227.28	276.26	492.06	109.15	
6	12.05	72.46	1.72	53.87	110.64	7.92	67.69	147.39	8.74	65.7	141.67	6.05	56.64	119.01	5.02	36.91	81.72	2.81	19.85	48.84	11.27	32.29	35.83	26.5	11.27	23.08	22.62	17.91	1.91	10.31	10.66	8.81	1.02	5.79	4.57	3.56	0.82	4.7	2.83	1.29	0.39	2.11	1.0	0.57	0.38	2.45	1.01	0.14	0.41	1.82	1.53	0.77	0.08	0.35	0.27	0.13	42.86	153.93	54.67	202.57	152.49	208.99	168.27	240.76	65.56	
7	23.63	79.02	10.23	77.23	117.08	29.6	100.49	149.76	31.41	93.18	124.94	24.27	69.11	93.98	12.53	33.67	46.13	7.25	19.41	21.06	29.76	84.03	102.09	77.94	29.76	27.61	17.82	10.77	1.46	8.63	8.48	4.31	0.81	3.86	1.52	0.75	0.46	2.59	0.98	0.31	0.08	0.42	0.37	0.14	0.11	0.57	0.12	0.0	0.34	1.4	1.03	0.67	0.04	0.13	0.11	0.0	58.64	171.56	61.8	219.77	139.48	206.93	137.64	170.21	62.42	
8	10.11	59.54	1.52	42.45	84.76	6.55	50.86	102.74	6.33	42.77	91.38	3.84	34.05	70.91	3.11	21.53	41.38	1.77	10.27	21.72	8.71	22.33	23.24	15.78	8.71	17.32	15.56	11.1	1.41	7.04	5.77	4.07	0.6	3.07	2.52	1.62	0.47	2.26	1.36	0.89	0.26	1.25	0.71	0.29	0.15	0.72	0.21	0.06	0.23	1.08	0.74	0.57	0.1	0.37	0.26	0.25	33.14	108.28	34.93	125.48	93.49	112.15	96.29	132.15	36.14	
9	20.65	74.59	8.1	63.99	108.47	22.6	75.83	124.19	19.75	47.76	65.71	11.17	32.39	42.1	6.15	8.77	16.48	0.31	5.0	8.34	28.69	84.0	86.36	39.86	28.69	18.83	12.77	6.65	1.22	6.77	6.5	2.74	0.37	1.57	0.8	0.42	0.14	0.48	0.32	0.12	0.06	0.28	0.19	0.02	0.14	0.38	0.08	0.04	0.33	1.18	1.04	0.87	0.04	0.04	0.04	0.06	64.89	194.52	83.46	222.24	147.35	277.53	70.96	78.93	71.1	
10	16.18	63.69	5.41	48.63	91.56	14.74	66.97	111.87	19.36	44.63	72.87	7.74	30.34	54.54	4.24	12.17	23.89	0.5	9.41	11.18	20.79	58.12	71.73	37.36	20.79	11.27	8.52	4.01	1.23	8.47	4.54	2.68	0.28	1.05	1.12	0.56	1.61	4.65	3.78	2.9	0.06	0.33	0.16	0.0	0.04	0.16	0.12	0.1	0.05	0.16	0.12	0.0	0.05	0.14	0.17	0.05	47.29	142.97	50.38	183.12	107.06	170.59	80.86	89.04	46.21	
