208.01	65.736	1393.1
207.95	65.69	1392.6
207.88	65.644	1392.1
207.81	65.598	1391.6
207.74	65.552	1391.1
207.68	65.506	1390.6
207.61	65.46	1390.1
207.54	65.414	1389.6
207.47	65.368	1389.1
207.41	65.322	1388.6
207.34	65.276	1388.1
207.27	65.23	1387.7
207.2	65.184	1387.2
207.13	65.138	1386.7
207.07	65.092	1386.2
207	65.046	1385.7
206.93	64.999	1385.2
206.86	64.953	1384.7
206.8	64.907	1384.2
206.73	64.861	1383.7
206.66	64.815	1383.2
206.59	64.769	1382.7
206.52	64.723	1382.2
206.46	64.677	1381.7
206.39	64.631	1381.2
206.32	64.585	1380.7
206.25	64.539	1380.3
206.19	64.493	1379.8
206.12	64.447	1379.3
206.05	64.401	1378.8
205.98	64.355	1378.3
205.92	64.309	1377.8
205.85	64.263	1377.3
205.78	64.217	1376.8
205.71	64.171	1376.3
205.64	64.125	1375.8
205.58	64.079	1375.3
205.51	64.033	1374.8
205.44	63.987	1374.3
205.37	63.941	1373.8
205.31	63.894	1373.4
205.24	63.848	1372.9
205.17	63.802	1372.4
205.1	63.756	1371.9
205.04	63.71	1371.4
204.97	63.664	1370.9
204.9	63.618	1370.4
204.83	63.572	1369.9
204.76	63.526	1369.4
204.7	63.48	1368.9
204.63	63.434	1368.4
204.56	63.388	1367.9
204.49	63.342	1367.4
204.43	63.296	1366.9
204.36	63.25	1366.4
204.29	63.204	1366
204.22	63.158	1365.5
204.16	63.112	1365
204.09	63.066	1364.5
204.02	63.02	1364
203.95	62.974	1363.5
203.88	62.928	1363
203.82	62.882	1362.5
203.75	62.835	1362
203.68	62.789	1361.5
203.61	62.743	1361
203.55	62.697	1360.5
203.48	62.651	1360
203.41	62.605	1359.5
203.34	62.559	1359
203.27	62.513	1358.6
203.21	62.467	1358.1
203.14	62.421	1357.6
203.07	62.375	1357.1
203	62.329	1356.6
202.94	62.283	1356.1
202.87	62.237	1355.6
202.8	62.191	1355.1
202.73	62.145	1354.6
202.67	62.099	1354.1
202.6	62.053	1353.6
202.53	62.007	1353.1
202.46	61.961	1352.6
202.39	61.915	1352.1
202.33	61.869	1351.6
202.26	61.823	1351.2
202.19	61.777	1350.7
202.12	61.73	1350.2
202.06	61.684	1349.7
201.99	61.638	1349.2
201.92	61.592	1348.7
201.85	61.546	1348.2
201.79	61.5	1347.7
201.72	61.454	1347.2
201.65	61.408	1346.7
201.58	61.362	1346.2
201.51	61.316	1345.7
201.45	61.27	1345.2
201.38	61.224	1344.7
201.31	61.178	1344.2
201.24	61.132	1343.8
201.18	61.086	1343.3
201.11	61.04	1342.8
201.04	60.994	1342.3
200.97	60.948	1341.8
200.91	60.902	1341.3
200.84	60.856	1340.8
200.77	60.81	1340.3
200.7	60.764	1339.8
200.63	60.718	1339.3
200.57	60.672	1338.8
200.5	60.625	1338.3
200.43	60.579	1337.8
200.36	60.533	1337.3
200.3	60.487	1336.9
200.23	60.441	1336.4
200.16	60.395	1335.9
200.09	60.349	1335.4
200.03	60.303	1334.9
199.96	60.257	1334.4
199.89	60.211	1333.9
199.82	60.165	1333.4
199.75	60.119	1332.9
199.69	60.073	1332.4
199.62	60.027	1331.9
199.55	59.981	1331.4
199.48	59.935	1330.9
199.42	59.889	1330.4
199.35	59.843	1329.9
199.28	59.797	1329.5
199.21	59.751	1329
199.14	59.705	1328.5
199.08	59.659	1328
199.01	59.613	1327.5
198.94	59.566	1327
198.87	59.52	1326.5
198.81	59.474	1326
198.74	59.428	1325.5
198.67	59.382	1325
198.6	59.336	1324.5
198.54	59.29	1324
198.47	59.244	1323.5
198.4	59.198	1323
198.33	59.152	1322.5
198.26	59.106	1322.1
198.2	59.06	1321.6
198.13	59.014	1321.1
198.06	58.968	1320.6
197.99	58.922	1320.1
197.93	58.876	1319.6
197.86	58.83	1319.1
197.79	58.784	1318.6
197.72	58.738	1318.1
197.66	58.692	1317.6
197.59	58.646	1317.1
197.52	58.6	1316.6
197.45	58.554	1316.1
197.38	58.508	1315.6
197.32	58.461	1315.1
197.25	58.415	1314.7
197.18	58.369	1314.2
197.11	58.323	1313.7
197.05	58.277	1313.2
196.98	58.231	1312.7
196.91	58.185	1312.2
196.84	58.139	1311.7
196.78	58.093	1311.2
196.71	58.047	1310.7
196.64	58.001	1310.2
196.57	57.955	1309.7
196.5	57.909	1309.2
196.44	57.863	1308.7
196.37	57.817	1308.2
196.3	57.771	1307.7
196.23	57.725	1307.3
196.17	57.679	1306.8
196.1	57.633	1306.3
196.03	57.587	1305.8
195.96	57.541	1305.3
195.89	57.495	1304.8
195.83	57.449	1304.3
195.76	57.403	1303.8
195.69	57.356	1303.3
195.62	57.31	1302.8
195.56	57.264	1302.3
195.49	57.218	1301.8
195.42	57.172	1301.3
195.35	57.126	1300.8
195.29	57.08	1300.3
